City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kralendijk,BQ,76.98,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
1,Buchanan,LR,77.05,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
3,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
9,Hithadhoo,MV,82.51,scattered clouds,-0.6,73.0833,Scoop Guest House
21,Kavieng,PG,83.73,broken clouds,-2.5744,150.7967,Nusa Island Retreat
26,Saint-Philippe,RE,83.79,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
27,Hobart,AU,80.02,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
28,Bengkulu,ID,83.26,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
36,Souillac,MU,79.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Gamba,GA,76.14,few clouds,-2.65,10.0,
44,Santa Isabel,BR,72.7,moderate rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
45,Thinadhoo,MV,82.74,overcast clouds,0.5333,72.9333,
49,New Norfolk,AU,80.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
51,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
52,Tayu,ID,78.62,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
63,Champerico,GT,76.03,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
64,Rikitea,PF,79.0,few clouds,-23.1203,-134.9692,People ThankYou
71,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
73,Imbituba,BR,75.09,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
74,Butaritari,KI,81.66,moderate rain,3.0707,172.7902,Isles Sunset Lodge
79,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
88,Atuona,PF,78.76,scattered clouds,-9.8,-139.0333,Villa Enata
90,Port Alfred,ZA,73.33,broken clouds,-33.5906,26.891,The Halyards Hotel
91,Kavaratti,IN,77.86,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
93,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
95,Flinders,AU,73.8,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
96,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,Bushido Lodge
102,Airai,TL,71.83,broken clouds,-8.9266,125.4092,
103,Manicore,BR,72.73,moderate rain,-5.8092,-61.3003,Hotel Durval
104,Faanui,PF,81.3,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
108,Hobyo,SO,76.66,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
109,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
110,Nacala,MZ,78.71,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
115,Te Anau,NZ,71.38,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
116,Pangai,TO,76.84,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
117,Codrington,AU,79.65,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
125,Port Lincoln,AU,79.57,clear sky,-34.7333,135.8667,Port Lincoln Hotel
126,Luba,GQ,79.05,few clouds,3.4568,8.5547,
129,Arraial Do Cabo,BR,74.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
130,Nelson Bay,AU,77.09,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
131,Huarmey,PE,71.01,overcast clouds,-10.0681,-78.1522,Hotel Miramar
132,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
134,Alofi,NU,80.49,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
136,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
140,Mahebourg,MU,80.26,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
142,Bambous Virieux,MU,80.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
144,Saint-Joseph,RE,82.78,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
148,Burnie,AU,72.95,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
149,Cururupu,BR,74.39,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
151,Santa Isabel Do Rio Negro,BR,71.85,overcast clouds,-0.4139,-65.0192,Hotel GSA
157,Esperance,AU,76.84,few clouds,-33.8667,121.9,Hospitality Esperance
158,Sulangan,PH,81.57,broken clouds,11.1373,123.7228,Maia's Beach Resort
160,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
162,Malindi,KE,77.16,few clouds,-3.2175,40.1191,African House Resort
163,Wanlaweyn,SO,76.12,broken clouds,2.6185,44.8938,GAASHAAN HOME
164,Oistins,BB,75.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
165,Nova Vicosa,BR,75.79,few clouds,-17.8919,-39.3719,Pousada Porto do Sol
169,Hilo,US,70.79,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
170,Nkayi,CG,71.62,overcast clouds,-4.1841,13.2884,Résidence privée du Maire NKAYI
172,Soe,ID,79.43,scattered clouds,-9.8607,124.284,Dena Hotel
173,Rantauprapat,ID,84.15,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
174,Carutapera,BR,75.43,overcast clouds,-1.195,-46.02,Lidera
175,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
176,Kahului,US,75.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
180,Nampula,MZ,75.15,scattered clouds,-15.1165,39.2666,Ruby Backpackers
181,Calvinia,ZA,74.48,clear sky,-31.4707,19.776,Die Lemoenhuis
182,Amapa,BR,70.12,overcast clouds,1.0,-52.0,
184,Benguela,AO,76.39,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
187,Sao Joao Da Barra,BR,75.24,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
190,Iquitos,PE,77.04,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
192,Savannah Bight,HN,78.62,clear sky,16.45,-85.85,Villa on Dunbar Rock
193,Sao Felix Do Xingu,BR,70.95,broken clouds,-6.6447,-51.995,Rio Xingu Camping
196,Iguape,BR,75.96,broken clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
199,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
202,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
207,Caravelas,BR,74.91,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
215,Bahia De Caraquez,EC,77.18,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
218,Sao Jose Da Coroa Grande,BR,79.3,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
219,Puerto Escondido,MX,75.33,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
223,Pipri,IN,77.56,broken clouds,19.8,75.5333,Sukhana River nilu and rushi home
227,Alugan,PH,80.53,broken clouds,12.2188,125.4808,JM Lodge
229,Port Shepstone,ZA,71.11,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
236,Dingle,PH,84.56,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
241,Pizarro,CO,76.1,light rain,4.9533,-77.366,Hotel Limonar
242,Labuhan,ID,79.79,moderate rain,-6.8844,112.2051,DoubleFAG
243,Luang Prabang,LA,71.56,few clouds,19.8856,102.1347,The Apsara
244,Bonthe,SL,76.12,broken clouds,7.5264,-12.505,Bonthe Holiday Village
247,Tuy Hoa,VN,78.6,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
251,Moerai,PF,79.84,light rain,-22.4333,-151.3333,Le Manotel
253,Namibe,AO,72.95,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
269,Isangel,VU,78.91,overcast clouds,-19.55,169.2667,Tanna Lodge
270,Manakara,MG,81.19,broken clouds,-22.1333,48.0167,La Residence Manakara
271,Angoche,MZ,76.32,overcast clouds,-16.2325,39.9086,Guest House HESADA
272,Richards Bay,ZA,73.36,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
280,Meulaboh,ID,79.59,overcast clouds,4.1363,96.1285,Kost Pria
281,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
284,Bongaree,AU,84.56,scattered clouds,-27.0797,153.1586,The Gums Anchorage
286,San Carlos,VE,77.25,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
290,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
299,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
300,Koungou,YT,78.51,moderate rain,-12.7336,45.2042,Villa Netibor
301,Sola,VU,82.2,overcast clouds,-13.8833,167.55,Leumerus Bungalows
302,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
303,Yaan,NG,72.03,clear sky,7.3833,8.5667,
304,Arenal,CO,74.12,few clouds,8.4593,-73.9433,Hotel Azteca
308,Fare,PF,81.19,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
310,Auki,SB,83.52,overcast clouds,-8.7676,160.7034,Auki Motel
315,Morant Bay,JM,76.62,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
316,Banda Aceh,ID,79.79,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
318,Catuday,PH,82.94,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
323,Panlaitan,PH,83.26,overcast clouds,12.1191,119.8486,Panlaitan Cetro Beach
330,Cienfuegos,CU,71.74,few clouds,22.1461,-80.4356,Casa Claumar B2BPay
331,Bourail,NC,80.42,moderate rain,-21.5667,165.4833,Motel Allamanda
333,Sao Gabriel Da Cachoeira,BR,72.45,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
336,West Bay,KY,77.0,few clouds,19.3667,-81.4167,Calypso Cove
337,Poum,NC,81.1,moderate rain,-20.2333,164.0167,
338,Tshela,CD,70.63,overcast clouds,-4.9833,12.9333,Hotel Mirador
342,Les Cayes,HT,72.32,clear sky,18.2,-73.75,Villa Orphee
344,Sao Filipe,CV,71.58,clear sky,14.8961,-24.4956,Hotel Xaguate
348,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
354,Linden,GY,75.34,moderate rain,6.0,-58.3,Crimson Bat Hotel
355,Abonnema,NG,76.21,clear sky,4.7084,6.7931,Corper's Lodge Obonoma
357,Pandan,PH,79.14,overcast clouds,14.0453,124.1694,Bonifacio Lodge
362,Harsud,IN,75.87,clear sky,22.1,76.7333,Tortoise Tapu (Anay)
366,Harper,LR,78.06,light rain,4.375,-7.7169,Screensaver
367,Sassandra,CI,77.41,overcast clouds,4.95,-6.0833,la terrasse
369,Miramar,US,71.62,scattered clouds,25.9873,-80.2323,Stadium Hotel
378,Bairnsdale,AU,72.46,clear sky,-37.8333,147.6167,Town Central Motel
381,Bowen,AU,84.42,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
383,Omboue,GA,76.69,broken clouds,-1.5746,9.2618,Hotel Olako
387,Axim,GH,77.59,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
394,Sur,OM,71.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
397,Rantepao,ID,78.62,moderate rain,-2.9701,119.8978,Hotel Luta Resort
398,Languyan,PH,84.76,broken clouds,5.2618,120.0807,
401,The Valley,AI,77.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
403,Lorengau,PG,84.38,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
407,Urucara,BR,72.54,heavy intensity rain,-2.5364,-57.76,Pousada Maria Bonita
410,Palm Beach,US,71.6,clear sky,26.6503,-80.4498,
423,Dulangan,PH,82.49,scattered clouds,11.4561,122.9557,altamia
424,Sinnamary,GF,76.71,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
426,Payyannur,IN,82.09,broken clouds,12.1,75.2,Kavvayi Beach House
439,Balabac,PH,82.49,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
444,Samarai,PG,84.31,overcast clouds,-10.6167,150.6667,Nuli Sapi
446,Monte Alegre,BR,73.4,light rain,-2.0078,-54.0692,Hotel Shekinah
452,Black River,JM,77.0,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
455,Gigmoto,PH,80.64,broken clouds,13.7796,124.39,Cj's Travellers Inn
457,Noumea,NC,78.78,light rain,-22.2763,166.4572,Hôtel Le Lagon
458,El Vigia,VE,74.97,broken clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
460,Jinka,ET,71.82,few clouds,5.65,36.65,
464,Florianopolis,BR,72.63,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
465,Cosina,PH,73.26,broken clouds,8.1061,124.6197,Audrey’s Rubber Farm
466,Tefe,BR,73.49,overcast clouds,-3.3542,-64.7114,Aracati Hotel
475,Natal,BR,79.02,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
478,Ambilobe,MG,79.12,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
481,Toamasina,MG,78.8,few clouds,-18.1667,49.3833,Hotel H1
482,Luquillo,PR,73.9,mist,18.3725,-65.7166,Yunque Mar Beach Hotel
483,Dalby,AU,83.1,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
488,Aripuana,BR,71.96,moderate rain,-9.1667,-60.6333,
490,Lahaina,US,75.2,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
495,Makakilo City,US,75.56,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
501,Pimentel,PE,70.41,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
507,Gladstone,AU,83.79,scattered clouds,-23.85,151.25,Highpoint International Hotel
511,Masuguru,TZ,74.95,overcast clouds,-11.3667,38.4167,
516,Tamandare,BR,79.09,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
517,Manggar,ID,83.68,overcast clouds,-2.8833,108.2667,Guest Hotel
521,Bandarbeyla,SO,76.64,overcast clouds,9.4942,50.8122,JABIR HOTEL
525,Vao,NC,81.32,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
528,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
529,Santo Antonio Do Ica,BR,72.28,broken clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
532,Quatre Cocos,MU,81.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
533,Granja,BR,72.46,few clouds,-3.1203,-40.8261,Pousada Casa Grande
534,Puerto Leguizamo,CO,72.28,overcast clouds,-0.1934,-74.7819,la casona de juancho
536,Vangaindrano,MG,77.61,light rain,-23.35,47.6,Hotel Fanilo
539,Jhargram,IN,70.41,few clouds,22.45,86.9833,Sarada Hotel
540,Hervey Bay,AU,80.04,broken clouds,-25.2986,152.8535,Shelly Bay Resort
545,Ternate,ID,83.35,light rain,0.8,127.4,Sahid Bela Ternate Hotel
549,Ugoofaaru,MV,81.37,broken clouds,5.6667,73.0,Ungoofaaru Inn
553,Port Macquarie,AU,73.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
556,Fuerte Olimpo,PY,73.47,scattered clouds,-21.0415,-57.8738,Hospedaje DAMI
574,Luganville,VU,84.34,light rain,-15.5333,167.1667,The Espiritu Hotel
577,Jaru,BR,72.3,overcast clouds,-10.4389,-62.4664,Hotel Paraná
580,Yarada,IN,80.92,haze,17.65,83.2667,Yarada Jungle Beach Resorts
582,Bubaque,GW,76.17,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
584,Talara,PE,72.0,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
589,Inhambane,MZ,78.8,overcast clouds,-23.865,35.3833,Oceano
601,Muriti,TZ,72.3,light rain,-1.9833,32.9167,
602,Alvaraes,BR,73.38,overcast clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
604,Bras-Panon,RE,82.06,light rain,-20.9967,55.6782,le meublé
606,Amboasary,MG,76.84,overcast clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
612,Morros,BR,73.26,overcast clouds,-9.4467,-46.3003,
616,Nioro,GM,72.57,clear sky,13.35,-15.75,
626,Sambava,MG,79.72,scattered clouds,-14.2667,50.1667,Melrose
627,Clarence Town,AU,76.91,broken clouds,-32.5833,151.7833,River Downs Cottage
633,Hoi An,VN,82.36,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
634,Mumford,GH,78.82,overcast clouds,5.2618,-0.759,Spanish Villa
639,Lakatoro,VU,82.18,moderate rain,-16.0999,167.4164,Lakatoro Palm Lodge
640,Dhanera,IN,70.14,clear sky,24.5167,72.0167,Paresh joja
643,Garissa,KE,78.35,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
645,Pandaria,IN,76.87,clear sky,22.2333,81.4167,"SC,ST Hostel,Samrupara"
651,Akyab,MM,71.26,overcast clouds,20.15,92.9,Hotel Memory
653,Broken Hill,AU,83.91,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
656,Lakes Entrance,AU,72.57,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
657,Road Town,VG,75.99,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
658,Beloha,MG,74.73,moderate rain,-25.1667,45.05,
660,Mangaratiba,BR,76.06,overcast clouds,-22.9597,-44.0406,Portobello Resort & Safari
663,Puebloviejo,CO,82.58,few clouds,10.9938,-74.2844,The Journey Hostel
666,Kingaroy,AU,75.24,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
671,Kawalu,ID,79.77,light rain,-7.3817,108.2082,West Jontor
672,Sungai Besar,MY,82.45,moderate rain,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
